,Count of Amenities,bathrooms,bedrooms,fee,price,square_feet,costRange,allowedPets
95,0,1.0,2,0,1015.0,845,1,1
97,3,1.0,1,0,1103.0,652,2,0
98,3,1.0,1,0,1032.0,600,2,0
99,8,1.0,2,0,1729.0,448,2,0
100,0,1.0,2,0,920.0,420,2,0
101,5,1.0,1,0,1339.0,726,2,0
102,0,1.5,3,0,1650.0,1250,2,0
103,0,1.0,3,0,1695.0,1253,2,1
104,0,1.0,1,0,932.0,725,2,1
105,0,2.0,2,0,1500.0,1177,2,1
106,2,1.0,2,0,2200.0,1070,2,1
107,0,2.5,2,0,2795.0,1370,3,1
112,0,1.0,1,0,778.0,616,2,0
113,6,1.0,1,0,1140.0,691,2,0
114,8,1.0,1,0,949.0,625,1,1
115,1,1.0,1,0,891.0,832,2,1
116,2,2.0,2,0,1400.0,1140,1,1
117,12,1.0,2,0,1160.0,338,2,1
118,12,1.0,1,0,1225.0,450,2,0
119,3,1.0,2,0,960.0,752,2,0
121,0,1.0,2,0,995.0,1336,1,0
123,1,1.0,1,0,900.0,701,1,1
124,0,1.0,1,0,883.0,719,1,1
125,6,1.0,3,0,1424.0,1050,2,0
126,9,1.0,1,0,850.0,770,2,1
127,6,1.0,2,0,715.0,740,2,1
128,5,1.0,2,0,1025.0,500,2,1
129,4,1.0,1,0,625.0,468,2,0
130,6,1.0,1,0,1660.0,727,3,1
131,11,1.0,1,0,2000.0,585,3,1
132,3,1.0,1,0,1649.0,738,2,1
133,1,1.0,1,0,1345.0,675,2,1
134,4,1.0,1,0,1505.0,490,3,1
135,3,1.0,1,0,1575.0,720,3,1
136,9,1.0,1,0,1445.0,700,2,1
137,11,2.0,2,0,1440.0,973,2,1
138,6,1.0,1,0,1161.0,780,2,1
139,10,1.0,1,0,1495.0,825,2,1
140,1,1.0,2,0,946.0,720,2,1
141,0,1.0,2,0,1570.0,582,3,1
142,4,1.0,2,0,950.0,650,2,1
143,2,1.0,1,0,535.0,539,2,1
144,0,1.0,1,0,877.0,1003,2,1
145,5,1.0,1,0,1889.0,939,2,1
146,2,1.0,1,0,1150.0,580,2,1
148,0,1.0,0,0,1299.0,350,3,1
149,0,1.0,0,0,1250.0,228,3,1
150,0,1.0,1,0,825.0,550,2,1
151,0,1.0,1,0,675.0,700,1,1
153,0,1.0,1,0,1425.0,650,3,1
154,0,1.0,1,0,830.0,727,2,1
156,0,1.0,1,0,595.0,300,2,1
158,0,1.0,1,0,885.0,660,1,1
159,0,1.0,0,0,1130.0,490,2,1
160,0,2.0,2,0,1650.0,789,3,1
162,0,1.0,1,0,625.0,650,1,1
163,0,1.0,1,0,595.0,615,1,0
164,0,1.0,1,0,1370.0,708,2,1
165,0,1.0,2,0,1675.0,725,3,1
166,0,1.0,1,0,985.0,642,2,1
167,0,2.5,2,0,2200.0,1082,3,1
168,0,1.0,1,0,825.0,856,2,1
171,0,1.0,1,0,1155.0,697,2,0
172,4,1.0,3,0,1210.0,597,2,0
173,4,1.0,1,0,1554.0,777,2,0
174,3,1.0,1,0,1130.0,792,2,0
175,1,1.0,1,0,1125.0,658,2,0
176,0,1.0,1,0,1391.0,677,2,1
177,0,1.0,2,0,1050.0,508,2,0
178,6,1.0,1,0,2500.0,724,2,1
179,6,1.0,1,0,2184.0,835,2,1
180,0,1.0,2,0,1950.0,975,3,1
181,0,1.0,1,0,2186.0,843,2,1
182,3,1.0,1,0,930.0,610,2,0
183,0,1.0,1,0,999.0,522,1,1
184,0,1.0,3,0,1650.0,750,3,1
185,0,1.5,2,0,1545.0,885,1,0
186,0,2.0,3,0,1899.0,1307,3,0
187,1,2.0,2,0,1950.0,1070,3,1
189,0,2.5,2,0,2350.0,1451,3,1
190,2,1.0,2,0,2195.0,816,3,1
194,4,1.0,2,0,1230.0,457,2,0
195,2,1.0,1,0,1395.0,500,3,1
196,2,1.0,1,0,2295.0,332,3,1
197,2,2.0,3,0,1199.0,1200,2,1
198,3,1.0,1,0,646.0,656,2,1
199,1,1.0,1,0,895.0,690,2,0
200,1,1.0,1,0,884.0,622,2,0
201,5,1.0,1,0,640.0,530,1,1
202,6,1.0,1,0,1756.0,862,3,1
203,0,2.0,4,0,1900.0,1150,2,0
204,6,1.0,1,0,1209.0,500,2,0
205,0,2.0,2,0,1568.0,828,3,1
206,7,1.0,1,0,1180.0,664,1,1
207,9,1.0,2,0,900.0,551,2,1
208,2,1.0,2,0,1040.0,470,2,0
209,4,3.0,3,0,960.0,1470,2,1
210,6,1.0,2,0,820.0,916,1,0
212,4,2.0,3,0,1299.0,1358,1,1
213,3,1.0,2,0,1631.0,499,3,1
214,2,1.0,1,0,1020.0,740,2,1
215,10,1.0,1,0,1125.0,676,2,1
216,6,1.0,1,0,1211.0,866,2,1
217,5,2.0,2,0,1010.0,1100,2,0
218,0,1.0,1,0,1675.0,682,3,0
219,6,2.0,3,0,1500.0,1382,2,1
220,11,1.0,2,0,944.0,1125,1,1
221,0,1.0,3,0,950.0,680,2,1
222,4,2.0,2,0,1004.0,912,2,1
224,5,1.0,1,0,1875.0,732,3,1
225,3,1.0,2,0,1050.0,579,2,1
228,11,1.0,1,0,791.0,717,1,1
229,0,1.0,1,0,1417.0,840,2,1
230,7,1.0,1,0,1109.0,678,2,1
231,0,2.5,3,0,1695.0,1542,1,1
232,0,2.0,2,0,2795.0,900,3,1
233,0,2.0,2,0,950.0,1500,1,0
234,0,1.0,2,0,875.0,950,2,1
235,0,2.0,2,0,2595.0,1025,3,1
236,0,1.0,2,0,1499.0,540,3,0
238,0,2.0,3,0,1400.0,1285,2,1
239,0,1.0,1,0,1025.0,545,2,1
240,4,1.0,2,0,1450.0,1215,2,1
241,0,1.0,1,0,750.0,734,1,1
242,0,1.0,2,0,2540.0,1500,3,1
243,0,1.0,1,0,2600.0,800,3,0
244,0,1.0,1,0,1595.0,642,3,0
245,0,1.0,1,0,1750.0,720,3,1
247,0,2.0,3,0,995.0,1120,1,1
249,0,1.5,1,0,1595.0,700,3,1
250,0,1.0,2,0,695.0,900,2,0
251,0,1.0,1,0,825.0,621,2,0
252,0,2.0,2,0,1995.0,1601,2,0
253,0,1.0,0,0,850.0,400,2,1
254,0,1.0,2,0,1050.0,1100,1,1
255,4,1.0,1,0,873.0,820,1,1
256,0,1.0,1,0,925.0,670,1,1
257,0,1.0,2,0,1650.0,1200,3,1
258,3,1.0,1,0,989.0,791,2,0
259,0,1.0,1,0,605.0,717,1,1
260,0,1.0,2,0,1285.0,850,3,1
261,0,1.0,0,0,1400.0,355,3,1
262,0,1.0,1,0,1595.0,600,3,1
263,3,1.0,1,0,1195.0,650,2,0
264,4,1.0,1,0,1600.0,877,2,0
265,0,1.0,1,0,1656.0,705,3,0
266,4,1.0,1,0,1035.0,766,2,0
267,0,1.0,1,0,972.0,892,2,0
268,3,1.0,1,0,1027.0,677,2,0
269,0,1.0,0,0,1350.0,500,3,0
270,0,1.0,1,0,1035.0,660,2,0
271,6,1.0,1,0,2017.0,671,2,1
272,3,1.0,2,0,800.0,430,2,0
273,0,1.5,1,0,1065.0,1145,1,1
274,3,1.0,2,0,897.0,450,2,0
275,0,2.5,2,0,1739.0,1438,2,0
276,0,1.0,2,0,1250.0,552,2,1
279,0,2.0,3,0,2000.0,1198,3,1
280,0,1.0,1,0,795.0,737,2,1
281,1,1.0,1,0,1280.0,700,3,1
282,0,2.0,2,0,2199.0,764,3,1
283,0,1.0,1,0,1050.0,362,3,1
284,0,1.0,1,0,2800.0,850,3,0
285,0,1.0,1,0,1730.0,606,2,1
286,3,1.0,1,0,900.0,677,2,1
287,3,1.0,1,0,955.0,625,2,1
288,0,1.0,2,0,1600.0,1400,3,1
289,4,1.0,1,0,1125.0,642,2,1
290,1,2.0,2,0,2499.0,1590,3,0
292,4,1.0,1,0,2640.0,600,2,1
294,6,2.0,2,0,1990.0,900,3,1
296,0,2.0,3,0,1599.0,1413,2,1
297,8,1.0,1,0,809.0,653,2,1
298,4,2.0,4,0,1399.0,1633,2,1
299,11,1.0,1,0,1489.0,940,3,1
300,6,1.0,1,0,690.0,730,1,1
301,9,1.0,1,0,937.0,752,2,1
302,7,1.0,1,0,740.0,750,2,1
303,11,2.0,2,0,565.0,900,1,1
304,11,1.0,1,0,1009.0,826,2,1
305,0,1.0,2,0,1565.0,921,3,1
306,10,1.0,2,0,700.0,748,1,1
307,4,1.0,2,0,725.0,800,2,0
308,0,1.0,3,0,960.0,1050,2,1
309,6,1.0,1,0,850.0,273,3,1
310,5,1.0,1,0,725.0,600,3,1
311,8,1.0,3,0,800.0,500,1,1
312,6,1.0,1,0,600.0,660,1,1
313,3,1.0,1,0,386.0,375,1,1
314,2,2.0,2,0,850.0,1067,1,1
315,5,1.0,0,0,799.0,375,2,0
316,7,1.0,2,0,750.0,550,1,1
317,4,1.0,1,0,799.0,400,2,0
319,0,2.0,2,0,2010.0,930,3,0
320,11,1.0,2,0,1245.0,530,2,1
321,11,1.0,1,0,1070.0,800,2,1
322,9,1.0,1,0,1450.0,510,3,1
323,6,1.0,1,0,1360.0,624,2,1
324,8,1.0,1,0,720.0,600,2,1
325,1,1.0,1,0,820.0,460,2,1
326,12,1.0,2,0,1200.0,350,3,1
327,3,1.0,1,0,895.0,606,1,1
328,0,1.0,2,0,955.0,380,1,1
329,2,2.0,2,0,1250.0,1025,1,1
330,10,1.0,2,0,1397.0,913,2,1
331,9,1.0,2,0,1030.0,745,1,1
332,1,1.0,1,0,902.0,384,3,1
333,9,1.0,1,0,1212.0,723,2,1
334,2,1.0,2,0,1450.0,410,2,1
335,10,1.0,1,0,938.0,688,2,1
337,0,1.0,1,0,1326.0,580,3,1
338,3,1.0,1,0,1034.0,651,2,1
339,6,1.0,3,0,635.0,520,1,1
340,11,1.0,1,0,1675.0,967,2,1
341,11,1.0,2,0,1538.0,481,3,1
342,8,1.0,1,0,1410.0,651,3,1
343,2,1.0,1,0,941.0,627,2,1
344,2,1.0,1,0,1365.0,617,2,1
345,1,1.0,1,0,1012.0,646,2,0
346,7,1.0,1,0,959.0,774,2,0
347,0,1.0,1,0,1192.0,593,2,0
348,0,1.0,1,0,2095.0,798,3,1
349,0,1.5,2,0,1100.0,812,2,0
350,0,1.0,0,0,1095.0,231,3,1
351,0,1.0,1,0,1350.0,557,3,0
352,0,1.0,1,0,1210.0,1166,2,1
353,0,1.0,1,0,965.0,700,1,1
354,4,1.0,1,0,750.0,750,1,1
355,5,1.0,1,0,1785.0,800,3,1
356,0,1.0,1,0,925.0,500,2,1
357,0,2.0,2,0,1950.0,1100,3,1
358,0,1.0,3,0,1895.0,1100,3,1
359,0,1.0,1,0,2095.0,700,3,0
360,0,1.0,2,0,2350.0,700,3,0
361,0,1.0,3,0,1695.0,1406,2,0
362,0,1.0,2,0,625.0,800,1,0
363,0,2.0,3,0,1375.0,1347,2,1
365,3,1.0,1,0,1290.0,559,2,0
366,0,2.5,3,0,1695.0,1525,2,1
367,0,1.0,2,0,595.0,850,1,1
368,0,1.0,2,0,545.0,550,1,1
369,6,1.0,1,0,1786.0,650,2,0
370,3,1.0,1,0,1200.0,640,2,0
371,3,1.0,1,0,915.0,696,2,0
372,0,1.0,2,0,1258.0,531,2,0
373,0,2.0,3,0,1250.0,1348,2,0
374,6,1.0,1,0,2035.0,953,2,1
375,0,1.0,3,0,1041.0,450,2,0
376,0,1.0,1,0,1740.0,931,2,0
377,0,1.0,1,0,1231.0,652,2,0
378,0,2.0,4,0,1095.0,1584,2,1
379,0,1.0,0,0,1299.0,243,3,1
380,0,1.0,1,0,1789.0,678,2,1
381,0,1.0,2,0,1040.0,700,2,0
382,0,2.0,2,0,785.0,1200,1,1
383,0,1.0,1,0,1002.0,878,2,0
386,3,1.0,2,0,900.0,1050,1,1
387,2,2.0,1,0,1743.0,1130,2,0
388,4,1.0,1,0,1028.0,542,2,0
389,6,1.0,1,0,950.0,500,3,1
390,8,1.0,1,0,840.0,700,1,1
391,0,1.0,1,0,1950.0,1055,2,1
392,1,1.0,1,0,826.0,920,2,1
395,6,1.0,1,0,875.0,669,1,1
396,11,2.0,2,0,578.0,901,1,1
397,6,2.0,2,0,650.0,955,1,1
399,7,1.0,2,0,600.0,420,3,0
400,5,1.0,1,0,740.0,600,3,0
401,4,1.0,3,0,550.0,470,3,1
402,7,1.0,1,0,540.0,385,3,0
403,8,1.0,1,0,830.0,525,1,0
404,12,2.0,2,0,1438.0,837,1,1
405,9,2.0,2,0,1418.0,931,2,1
406,9,1.0,1,0,2075.0,565,3,0
407,2,1.0,1,0,450.0,560,2,1
408,7,1.0,1,0,720.0,673,2,0
409,10,1.0,1,0,1099.0,685,2,0
410,5,1.0,2,0,539.0,815,1,1
414,5,1.0,2,0,875.0,867,1,1
415,12,1.0,1,0,757.0,520,1,1
416,1,1.0,1,0,975.0,528,2,0
417,8,1.0,1,0,815.0,592,2,1
418,6,1.0,2,0,1274.0,984,2,0
419,8,1.0,2,0,1230.0,900,2,1
420,10,1.0,1,0,940.0,806,2,1
421,3,1.0,1,0,1350.0,477,3,0
422,11,1.0,1,0,734.0,758,2,1
423,8,1.0,1,0,775.0,637,2,1
424,6,1.0,1,0,1400.0,678,2,1
425,7,1.0,1,0,1263.0,630,2,1
426,4,1.0,1,0,910.0,644,2,1
427,5,1.0,3,0,1889.0,561,3,1
428,9,1.0,1,0,1025.0,566,2,1
429,10,1.0,1,0,2749.0,519,3,1
430,7,1.0,2,0,1355.0,663,2,1
431,0,1.0,1,0,1710.0,805,3,0
432,0,1.0,1,0,2015.0,782,3,1
433,1,1.0,1,0,1152.0,861,2,0
434,2,1.0,3,0,2044.0,977,3,1
435,10,1.0,1,0,1315.0,820,2,1
436,9,1.0,0,0,1150.0,525,2,1
437,0,1.0,1,0,950.0,826,2,1
438,3,1.0,1,0,1089.0,670,2,1
439,1,1.0,1,0,1029.0,759,2,1
440,0,1.0,4,0,2200.0,1536,1,0
441,0,2.0,2,0,2899.0,1126,3,1
442,0,1.0,1,0,1350.0,508,3,1
444,0,1.0,1,0,1295.0,497,3,1
447,0,1.0,1,0,1780.0,520,3,0
449,0,1.0,2,0,1795.0,900,3,1
450,0,1.0,1,0,925.0,600,2,0
451,0,1.0,2,0,1995.0,500,3,1
452,0,2.0,2,0,1995.0,1150,3,1
453,0,1.0,2,0,565.0,915,1,0
454,5,1.0,1,0,1795.0,710,3,1
455,0,1.0,0,0,925.0,400,2,1
456,0,1.0,1,0,965.0,605,1,1
457,0,1.0,3,0,1945.0,1089,3,1
458,3,1.0,1,0,1095.0,644,2,0
459,0,2.0,3,0,1399.0,1372,2,1
460,0,1.5,2,0,1009.0,1138,2,1
461,0,2.0,2,0,1995.0,1245,3,1
462,0,1.0,1,0,1125.0,600,2,0
463,3,1.0,1,0,1185.0,686,2,0
464,3,1.0,1,0,890.0,550,2,0
465,0,2.0,3,0,2050.0,936,2,1
466,3,1.0,1,0,1126.0,582,2,0
467,3,1.0,1,0,1080.0,647,2,0
468,3,1.0,1,0,1060.0,693,2,0
469,3,1.0,1,0,1100.0,634,2,0
470,0,1.0,2,0,1246.0,352,2,0
471,3,1.0,1,0,1225.0,620,2,0
472,0,1.0,1,0,905.0,600,2,0
475,0,1.0,1,0,1499.0,636,3,1
476,3,1.0,1,0,959.0,793,2,0
478,0,1.0,3,0,670.0,565,1,1
479,3,1.0,1,0,1050.0,700,2,0
480,3,1.0,2,0,565.0,850,1,0
481,6,1.0,1,0,1850.0,900,3,1
482,2,1.0,1,0,1039.0,775,2,1
484,0,1.0,1,0,1677.0,723,3,0
485,3,2.0,3,0,1599.0,1445,2,1
486,3,1.0,2,0,1242.0,400,3,1
487,2,1.0,2,0,1755.0,941,3,1
488,1,1.0,1,0,900.0,250,3,0
489,12,1.0,1,0,1295.0,536,3,1
490,2,1.0,1,0,770.0,450,2,1
491,7,1.0,2,0,1300.0,900,3,1
492,4,1.0,2,0,775.0,1035,1,1
493,7,1.0,1,0,1200.0,603,2,1
494,3,1.0,2,0,930.0,523,2,0
495,4,1.0,2,0,1000.0,800,3,1
496,1,1.0,1,0,600.0,500,1,1
497,9,1.0,2,0,825.0,456,3,1
498,9,1.0,1,0,690.0,750,1,1
499,4,3.0,3,0,1797.0,905,2,0
500,9,2.0,2,0,1199.0,895,2,1
502,5,1.0,1,0,1285.0,960,2,1
503,1,1.0,3,0,1338.0,1022,2,1
504,8,1.0,2,0,1290.0,536,2,1
505,0,1.0,2,0,2900.0,1100,3,0
506,9,1.0,1,0,1295.0,533,3,1
507,8,1.0,1,0,1445.0,833,3,1
508,9,1.0,1,0,790.0,720,2,1
509,7,1.0,1,0,980.0,797,1,1
510,6,1.0,1,0,811.0,665,1,1
511,12,1.0,1,0,779.0,705,1,1
512,5,1.0,1,0,780.0,620,2,1
513,2,1.0,1,0,1099.0,540,2,1
515,6,1.0,2,0,1222.0,310,3,0
516,0,1.0,2,0,1305.0,500,3,0
517,0,1.0,1,0,1937.0,695,3,1
518,0,1.0,1,0,1672.0,640,3,1
519,0,1.0,1,0,1141.0,596,2,1
520,1,1.0,2,0,2145.0,622,3,1
521,1,1.0,1,0,1370.0,820,2,1
522,2,1.0,2,0,1061.0,489,2,1
523,12,1.0,1,0,2465.0,685,3,1
524,2,2.0,4,0,1249.0,1600,2,1
526,6,1.0,2,0,2040.0,975,3,1
527,9,1.0,2,0,1225.0,995,2,0
528,7,1.0,1,0,1060.0,1003,2,1
529,3,1.0,1,0,1261.0,643,2,1
530,3,1.0,1,0,932.0,675,2,1
533,0,1.0,2,0,1275.0,700,3,1
534,0,1.5,2,0,1499.0,1000,2,1
536,0,1.0,1,0,880.0,520,2,1
539,0,1.0,0,0,1345.0,600,3,0
540,0,1.0,1,0,1295.0,640,2,1
541,0,1.0,2,0,725.0,850,1,0
542,0,1.0,2,0,1845.0,861,3,0
545,0,1.0,1,0,1449.0,605,3,1
546,0,1.0,2,0,1270.0,441,3,1
547,0,1.0,2,0,1235.0,1080,2,1
548,0,1.0,1,0,960.0,593,2,1
549,0,1.0,1,0,1500.0,850,3,0
550,0,2.0,3,0,2895.0,1562,3,1
551,0,2.0,2,0,920.0,960,1,0
552,0,1.0,1,0,685.0,640,1,0
553,0,1.0,1,0,1860.0,672,2,1
554,4,1.0,1,0,2290.0,789,3,1
555,3,1.0,1,0,1668.0,592,2,0
556,0,1.0,2,0,1350.0,1207,2,1
557,0,1.0,1,0,1250.0,538,3,1
558,0,1.0,2,0,1925.0,875,2,1
559,0,1.0,1,0,1525.0,790,3,1
561,3,1.0,1,0,1176.0,608,2,0
562,2,1.0,1,0,926.0,481,2,0
563,0,1.5,3,0,1635.0,949,2,1
564,0,1.0,1,0,1275.0,625,2,0
565,3,2.0,3,0,2145.0,1440,2,0
566,0,1.0,1,0,1483.0,650,2,0
567,6,1.0,1,0,1735.0,819,2,1
568,0,2.0,3,0,1499.0,1110,3,1
569,0,1.0,1,0,1399.0,790,3,0
570,0,1.0,3,0,1395.0,1400,3,0
571,0,1.0,1,0,1686.0,847,2,1
572,2,2.0,2,0,1149.0,994,2,0
573,0,1.5,2,0,1000.0,815,2,0
574,0,1.0,1,0,919.0,815,1,1
576,11,1.0,1,0,1000.0,690,2,0
577,3,1.0,1,0,895.0,447,2,0
578,0,1.0,1,0,825.0,578,1,1
579,0,2.0,3,0,1650.0,1384,3,1
582,3,1.0,2,0,1150.0,950,2,0
585,0,1.5,1,0,2350.0,880,3,0
586,0,1.5,2,0,1450.0,1150,2,1
587,0,1.0,1,0,2599.0,900,3,0
588,0,1.0,1,0,1510.0,660,3,0
590,3,1.0,1,0,845.0,476,2,1
591,11,1.0,0,0,1240.0,341,2,1
592,5,1.0,1,0,1470.0,687,2,1
593,2,2.0,3,0,1349.0,1192,2,1
594,2,2.0,3,0,1299.0,1224,2,1
595,1,1.0,1,0,650.0,250,2,0
596,1,1.0,1,0,766.0,450,2,1
597,5,1.0,2,0,775.0,900,2,1
598,6,1.0,1,0,575.0,615,1,1
599,6,1.0,1,0,1275.0,502,3,1
600,1,1.0,3,0,1236.0,615,2,0
601,6,1.0,2,0,1240.0,750,1,0
602,1,1.0,1,0,1000.0,775,2,0
603,4,1.0,1,0,850.0,650,2,1
604,0,1.0,1,0,831.0,707,2,1
605,5,1.0,1,0,795.0,727,2,1
606,7,1.0,1,0,700.0,800,3,1
607,10,1.0,3,0,615.0,487,1,1
608,9,1.0,3,0,555.0,500,1,1
609,6,1.0,1,0,580.0,550,1,1
610,8,1.0,1,0,940.0,672,2,1
611,3,1.0,1,0,535.0,650,1,0
612,8,1.0,1,0,729.0,704,1,1
613,9,1.0,1,0,754.0,544,1,1
614,8,1.0,1,0,850.0,837,1,1
615,10,1.0,1,0,822.0,507,2,1
616,5,1.0,1,0,810.0,956,1,1
617,2,1.0,2,0,712.0,600,2,1
618,3,1.0,2,0,902.0,1072,1,1
619,7,1.0,1,0,999.0,668,2,0
620,0,2.0,3,0,2010.0,1000,2,0
621,6,1.0,2,0,870.0,900,1,1
622,8,1.0,1,0,975.0,749,1,1
623,3,2.0,2,0,1320.0,1099,2,1
624,2,1.0,4,0,1100.0,1400,1,1
625,7,1.0,1,0,1073.0,784,2,1
626,11,1.0,1,0,900.0,680,2,1
627,7,1.0,1,0,1202.0,757,2,1
628,5,1.0,1,0,830.0,801,2,1
629,3,1.0,3,0,1095.0,840,3,0
631,5,2.0,2,0,1865.0,979,3,1
632,9,1.0,0,0,1295.0,445,3,1
633,3,1.0,2,0,805.0,422,2,1
634,0,1.0,1,0,935.0,705,2,1
635,10,1.0,1,0,615.0,660,2,1
636,7,1.0,2,0,770.0,871,2,1
637,12,1.0,2,0,1185.0,488,2,1
638,5,2.0,2,0,1185.0,1200,2,1
639,5,1.0,1,0,499.0,250,1,1
640,4,1.0,2,0,1300.0,833,2,1
641,8,1.0,1,0,1775.0,715,3,1
642,0,1.0,2,0,1755.0,470,3,1
643,0,2.0,2,0,1301.0,980,2,1
644,5,1.0,1,0,1258.0,689,2,1
645,1,1.0,2,0,1089.0,611,3,1
646,12,1.0,1,0,2000.0,701,3,1
647,3,1.0,1,0,1735.0,685,3,1
648,11,2.0,2,0,1435.0,1057,3,1
649,4,1.0,1,0,1130.0,638,2,1
650,8,1.0,1,0,2695.0,629,3,1
651,1,1.0,1,0,1656.0,802,3,1
652,0,1.0,1,0,819.0,500,2,1
653,4,1.0,1,0,1110.0,752,2,1
654,3,1.0,1,0,900.0,621,2,1
655,0,1.0,1,0,674.0,505,2,1
657,1,2.0,3,0,1449.0,1364,2,1
658,4,1.0,1,0,879.0,800,1,1
659,4,1.0,1,0,848.0,702,2,1
660,0,1.0,1,0,1000.0,1017,2,1
661,6,1.0,1,0,950.0,722,2,0
662,1,1.0,2,0,850.0,700,3,0
663,0,1.0,1,0,695.0,675,1,1
664,0,1.0,2,0,749.0,800,2,1
665,0,1.0,1,0,995.0,550,3,0
666,0,1.0,1,0,425.0,656,2,1
667,0,1.0,1,0,947.0,560,2,0
668,5,2.0,2,0,1500.0,1195,2,1
669,3,1.0,1,0,850.0,672,2,1
670,0,1.5,1,0,1750.0,800,3,0
671,0,1.0,1,0,1395.0,643,3,1
672,0,1.5,2,0,1250.0,900,2,1
673,0,1.0,1,0,1325.0,850,2,1
674,0,1.0,2,0,995.0,1000,1,0
675,0,1.0,2,0,975.0,870,1,1
676,0,1.0,1,0,525.0,550,1,0
677,0,2.0,1,0,2200.0,1428,2,0
678,0,1.0,1,0,829.0,375,2,1
679,5,1.0,1,0,1840.0,709,3,1
680,0,2.0,3,0,1775.0,1233,3,1
681,0,1.0,1,0,935.0,700,2,1
682,4,1.0,2,0,1399.0,416,2,0
683,0,1.0,1,0,771.0,739,1,1
685,0,2.0,2,0,949.0,1295,2,1
686,0,1.0,3,0,1270.0,599,2,0
687,0,1.0,1,0,995.0,700,1,1
688,0,1.0,2,0,1550.0,825,2,1
690,4,1.0,1,0,849.0,597,2,0
691,0,1.0,2,0,1399.0,529,2,0
692,0,1.0,2,0,1157.0,980,2,0
